raceId,year,driverId,constructorId,finish_points,grid,position,racer_name,constructor_name,qual_points,teammate_points
341,2010,15,205,0.0,18,17.0,Jarno Trulli,Lotus,0,1.0
341,2010,10,166,0.0,22,18.0,Timo Glock,Virgin,0,1.0
341,2010,810,166,0.0,23,19.0,Lucas di Grassi,Virgin,0,0.0
341,2010,67,5,0.0,14,,Sébastien Buemi,Toro Rosso,0,0.0
341,2010,812,164,0.0,24,,Karun Chandhok,HRT,0,1.0
341,2010,37,15,0.0,12,,Pedro de la Rosa,Sauber,0,0.0
341,2010,811,164,0.0,21,,Bruno Senna,HRT,0,0.0
341,2010,5,205,0.0,20,,Heikki Kovalainen,Lotus,0,0.0
342,2010,17,9,25.0,1,1.0,Mark Webber,Red Bull,25,1.0
342,2010,20,9,18.0,3,2.0,Sebastian Vettel,Red Bull,15,0.0
342,2010,9,4,15.0,2,3.0,Robert Kubica,Renault,18,1.0
342,2010,13,6,12.0,4,4.0,Felipe Massa,Ferrari,12,1.0
342,2010,1,1,10.0,5,5.0,Lewis Hamilton,McLaren,10,0.0
342,2010,4,6,8.0,24,6.0,Fernando Alonso,Ferrari,0,0.0
342,2010,3,131,6.0,6,7.0,Nico Rosberg,Mercedes,8,1.0
342,2010,16,10,4.0,12,8.0,Adrian Sutil,Force India,0,1.0
342,2010,24,10,2.0,10,9.0,Vitantonio Liuzzi,Force India,1,0.0
342,2010,67,5,1.0,13,10.0,Sébastien Buemi,Toro Rosso,0,1.0
342,2010,153,5,0.0,17,11.0,Jaime Alguersuari,Toro Rosso,0,0.0
342,2010,30,131,0.0,7,12.0,Michael Schumacher,Mercedes,6,0.0
342,2010,808,4,0.0,14,13.0,Vitaly Petrov,Renault,0,0.0
342,2010,812,164,0.0,23,14.0,Karun Chandhok,HRT,0,1.0
342,2010,15,205,0.0,19,15.0,Jarno Trulli,Lotus,0,1.0
342,2010,5,205,0.0,18,,Heikki Kovalainen,Lotus,0,0.0
342,2010,811,164,0.0,22,,Bruno Senna,HRT,0,0.0
342,2010,22,3,0.0,9,,Rubens Barrichello,Williams,2,0.0
342,2010,155,15,0.0,16,,Kamui Kobayashi,Sauber,0,1.0
342,2010,810,166,0.0,21,,Lucas di Grassi,Virgin,0,1.0
342,2010,10,166,0.0,20,,Timo Glock,Virgin,0,0.0
342,2010,37,15,0.0,15,,Pedro de la Rosa,Sauber,0,0.0
342,2010,18,1,0.0,8,,Jenson Button,McLaren,4,1.0
342,2010,807,3,0.0,11,,Nico Hülkenberg,Williams,0,1.0
343,2010,1,1,25.0,2,1.0,Lewis Hamilton,McLaren,18,1.0
343,2010,18,1,18.0,4,2.0,Jenson Button,McLaren,12,0.0
343,2010,17,9,15.0,1,3.0,Mark Webber,Red Bull,25,0.0
343,2010,30,131,12.0,5,4.0,Michael Schumacher,Mercedes,10,1.0
343,2010,3,131,10.0,6,5.0,Nico Rosberg,Mercedes,8,0.0
343,2010,9,4,8.0,7,6.0,Robert Kubica,Renault,6,1.0
343,2010,13,6,6.0,8,7.0,Felipe Massa,Ferrari,4,1.0
343,2010,4,6,4.0,12,8.0,Fernando Alonso,Ferrari,0,0.0
343,2010,16,10,2.0,11,9.0,Adrian Sutil,Force India,0,1.0
343,2010,155,15,1.0,10,10.0,Kamui Kobayashi,Sauber,1,1.0
343,2010,37,15,0.0,13,11.0,Pedro de la Rosa,Sauber,0,0.0
343,2010,153,5,0.0,16,12.0,Jaime Alguersuari,Toro Rosso,0,1.0
343,2010,24,10,0.0,18,13.0,Vitantonio Liuzzi,Force India,0,0.0
343,2010,22,3,0.0,15,14.0,Rubens Barrichello,Williams,0,1.0
343,2010,808,4,0.0,9,15.0,Vitaly Petrov,Renault,2,0.0
343,2010,67,5,0.0,14,16.0,Sébastien Buemi,Toro Rosso,0,0.0
343,2010,807,3,0.0,17,17.0,Nico Hülkenberg,Williams,0,0.0
343,2010,10,166,0.0,21,18.0,Timo Glock,Virgin,0,1.0
343,2010,810,166,0.0,23,19.0,Lucas di Grassi,Virgin,0,0.0
343,2010,812,164,0.0,24,20.0,Karun Chandhok,HRT,0,1.0
343,2010,811,164,0.0,22,,Bruno Senna,HRT,0,0.0
343,2010,20,9,0.0,3,,Sebastian Vettel,Red Bull,15,1.0
343,2010,5,205,0.0,20,,Heikki Kovalainen,Lotus,0,0.0
343,2010,15,205,0.0,19,,Jarno Trulli,Lotus,0,1.0
344,2010,1,1,25.0,1,1.0,Lewis Hamilton,McLaren,25,1.0
344,2010,18,1,18.0,4,2.0,Jenson Button,McLaren,12,0.0
344,2010,4,6,15.0,3,3.0,Fernando Alonso,Ferrari,15,1.0
344,2010,20,9,12.0,2,4.0,Sebastian Vettel,Red Bull,18,1.0
344,2010,17,9,10.0,7,5.0,Mark Webber,Red Bull,6,0.0
344,2010,3,131,8.0,10,6.0,Nico Rosberg,Mercedes,1,1.0
344,2010,9,4,6.0,8,7.0,Robert Kubica,Renault,4,1.0
344,2010,67,5,4.0,15,8.0,Sébastien Buemi,Toro Rosso,0,1.0
344,2010,24,10,2.0,5,9.0,Vitantonio Liuzzi,Force India,10,1.0
